tweet,user,word count,wordl len,numCap,numHashtags,numOfTaging ,emojilists,mean word,num of !,num of ?,num of dots,num of commas,is RT,border,numbers,democrats,maga,crime,total,witch,hunt,military,democrat,collusion,southern,fbi,report,dems,economy,dollars,illegal,others,foxnews,biden,jill,joe,vice,ryan,dr,middle,class,tax,saw,conan,ellentube,nwatch,clip,thankssponsor,audience,gameofgames,splittinguptogether,andylassner,thekalenallen,official_twitch,played,kkwbeauty,pop,pst,kkwfragrance,sold,shop,lipstick,kkw,12pm,classic,palette,lip,liners,lipsticks,nude,striveforgreatness,lil,bro,homie,sir,brother,lol,crazy,g,tony,gaga,lady,joanne,monsters,training,cristiano,portugal,hi,para,mercurial,cr7,nikefootball,madrid,el,collection,hola,hala,e,match,photos,cr7underwear,football,yesterday,hello,en,que,de,oscars,meantweets,realdonaldtrump,iamguillermo,kimmel,thecousinsal,trump,real,old,gerrymandering,time,get,love,celebapprentice,reform,great,next,friend,arnoldsports,pumped,wait,see,take,thank,together,first,one,know,amp,every,day,world,like,fantastic,asasafterschool,back,thanks,terminator,snapchat,future,join,us,miss,want,proud,today,w,support,go,people,watch,work,let,best
"['Chaka Khan, happy birthday, happy birthday, @ChakaKhan. Saying happy birthday is all I wanna do.']",3,-0.14136296929367664,-0.07762275631491426,-0.26143960880642786,-0.5822668960650573,0.1947592556414665,[],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,0.6590759388473115,2.7221925612726015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['I scared the crown off of Claire Foy. ,3,-0.842166001800953,-1.1251380660667771,-0.6872772190776814,-0.5822668960650573,-0.7399081175688079,[],-0.6167788701742429,-0.5064990174913221,-0.26072083206298924,-0.07868103341200933,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['Rolling around in my K900. Love this car!! #Kia #TheLand #Akron #StriveForGreatness ,5,-0.4417071260825094,-0.3220429952570156,0.3063438715552435,4.59900060385477,-0.7399081175688079,[],0.22347291192893876,1.5662206052502974,-0.26072083206298924,-0.07868103341200933,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['It is so unbelievably cold in so much of the country. Please, stay safe, keep inside, and watch #GameofGames tonight. I’m doing this for your health.']",3,0.9598989389320435,0.8825996109576266,-0.4033854788968457,0.7130499789148995,-0.7399081175688079,[],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,1.3968329111066324,2.7221925612726015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
['very proud of my daughter @katiekimmel whose artwork and dog is featured here   @tictail'],8,-0.24147768822328755,-0.2172914642818293,-1.113114829348935,-0.5822668960650573,1.129426628851741,[],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,-0.8164380056713303,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"['.@ChrisVanHollen: “What you saw was the passionate Joe Biden, the Joe Biden who fights for the middle class.” ",1,0.1589811874951561,0.20171465961891583,0.022452131374407824,-0.5822668960650573,0.1947592556414665,[],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,0.6590759388473115,0.5630077470650945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
['So many useless new gadgets coming out every day. Is it too much to ask for a simple set of sturdy nail clippers with reliable Wi-Fi?'],2,0.9598989389320435,0.5683450180320678,-0.5453313489872635,-0.5822668960650573,-0.7399081175688079,[],-0.6167788701742429,-0.5064990174913221,3.120962884056225,-0.07868103341200933,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
['Here it is! My #Halloween costume! She’ll stop at nothing to get what she wants! And what she wants is a man. ,3,0.5594400632135997,0.16679748262718705,-0.4033854788968457,0.7130499789148995,-0.7399081175688079,[],-0.6167788701742429,2.6025804166211075,-0.26072083206298924,-0.07868103341200933,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
['Breaking: Conan O’Brien sends Conan O’Brien to Israel to help Jared Kushner. Stay tuned. #ConanIsrael #ConanWithoutBorders ,2,-0.04124825036406572,0.4286763100651528,1.1580190920977504,2.0083668538948563,-0.7399081175688079,[],0.6435988029805296,-0.5064990174913221,-0.26072083206298924,0.6590759388473115,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"['I’ve got such a big surprise for Stephanie Wiguna, it can hardly fit on my stage. #ThanksSponsor ",3,0.05886646856554519,-0.06016416781904988,-0.4033854788968457,0.7130499789148995,-0.7399081175688079,[],-0.6167788701742429,-0.5064990174913221,-0.26072083206298924,-0.07868103341200933,0.5630077470650945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"['“Instead of attacking folks who work for a living and pay their way, Romney should be respecting their hard work.”—VP Biden']",1,0.45932534428398886,0.4985106640486103,-0.4033854788968457,-0.5822668960650573,-0.7399081175688079,[],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,-0.07868103341200933,0.5630077470650945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"['Beautiful evening in Panama City Beach, Florida. Thank you! #MAGA\n",0,-0.6419365639417313,-0.6188389996867101,0.3063438715552435,0.7130499789148995,-0.7399081175688079,[],0.22347291192893876,0.5298607938794877,-0.26072083206298924,-0.07868103341200933,0.5630077470650945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Thank you so much to the women &amp; men on the house floor who are protesting to save American lives ☕️ #NoBillNoBreak ,6,0.5594400632135997,0.3763005445775596,-0.26143960880642786,0.7130499789148995,-0.7399081175688079,[u'\u2615'],-0.6167788701742429,-0.5064990174913221,-0.26072083206298924,-0.8164380056713303,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
['@tr3y_mill3r Tom and Jerry'],5,-1.2426248775193967,-1.2997239510254208,-0.8292230891680993,-0.5822668960650573,0.1947592556414665,[],0.22347291192893876,-0.5064990174913221,-0.26072083206298924,-0.8164380056713303,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['Watch the @ArnoldClassicAu Stongman NOW: ,9,-1.1425101585897859,-1.072762300579184,0.022452131374407824,-0.5822668960650573,0.1947592556414665,[],0.6435988029805296,-0.5064990174913221,-0.26072083206298924,-0.8164380056713303,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['I love autumn in L.A., when the colors change on the Fire Danger signs.']",2,-0.24147768822328755,-0.5140874687115238,-0.4033854788968457,-0.5822668960650573,-0.7399081175688079,[],-0.6167788701742429,-0.5064990174913221,-0.26072083206298924,1.3968329111066324,0.5630077470650945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"[""🙏 for no violence during these protests. Be the change you want to see. Don't fight hate-speech w/ more hatred. Stand up w/love &amp; courage 🇺🇸""]",6,0.9598989389320435,0.9175167879493554,-0.6872772190776814,-0.5822668960650573,-0.7399081175688079,[u'\U0001f64f'],-0.1966529791226521,-0.5064990174913221,-0.26072083206298924,1.3968329111066324,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
['I hereby nominate @peteholmes &amp; @artiequitter for #Emmys for episode #6 of @CrashingHBO'],8,-0.34159240715289846,-0.16491569879423618,-0.26143960880642786,2.0083668538948563,2.0640940020620153,[],0.22347291192893876,-0.5064990174913221,-0.26072083206298924,-0.8164380056713303,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
['HUMBLE PIE. Dignity and Class. Words from the great Jimbo Fisher!'],5,-0.5418218450121203,-0.6188389996867101,0.8741273519169148,-0.5822668960650573,-0.7399081175688079,[],-0.1966529791226521,0.5298607938794877,-0.26072083206298924,0.6590759388473115,-0.5165846600386591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
